id;day;year;is_public_holiday;start;end
1;2020-05-15;55601;true;2020-05-14T14:02:16;2020-05-14T14:25:25
2;2020-05-14;57265;true;2020-05-15T12:28:28;2020-05-14T21:26:46
3;2020-05-14;46615;true;2020-05-14T17:57:52;2020-05-14T23:00:20
4;2020-05-15;49320;false;2020-05-15T07:26:48;2020-05-15T10:17:18
5;2020-05-14;66865;true;2020-05-14T21:53:33;2020-05-14T18:49:20
6;2020-05-15;89662;true;2020-05-15T00:07:00;2020-05-15T00:42:57
7;2020-05-15;14215;true;2020-05-14T12:50:13;2020-05-15T11:36:01
8;2020-05-15;81544;true;2020-05-14T15:37:11;2020-05-15T05:03:49
9;2020-05-15;74333;false;2020-05-14T14:19:59;2020-05-14T15:44:55
10;2020-05-15;50584;true;2020-05-15T12:12:34;2020-05-15T06:01:05
