id;day;year;is_public_holiday;start;end
1;2020-05-21;74707;false;2020-05-21T05:59:51;2020-05-20T17:17:48
2;2020-05-20;95216;false;2020-05-20T12:39:49;2020-05-21T04:53:21
3;2020-05-21;5824;false;2020-05-20T08:40:12;2020-05-20T15:39:39
4;2020-05-20;34821;true;2020-05-21T07:11:47;2020-05-21T07:34:33
5;2020-05-20;60540;true;2020-05-20T21:13:40;2020-05-20T18:32:15
6;2020-05-20;16334;true;2020-05-20T15:42:18;2020-05-20T11:27:51
7;2020-05-20;69978;true;2020-05-20T09:34:40;2020-05-21T00:38:26
8;2020-05-20;76468;true;2020-05-21T03:51:38;2020-05-20T17:02:09
9;2020-05-20;73007;true;2020-05-21T06:09:46;2020-05-20T14:49:16
10;2020-05-21;96784;false;2020-05-21T05:55:13;2020-05-20T20:29:36
