id;name;description;primary_color;secondary_color;url_img;url_img_content_type;email;phone;max_day_appointment;min_day_appointment;lat;lng
1;Psicotecnico RC 44;Psicotecnico RC44 en santiago de compostela;yellow;white;../fake-data/blob/rc44_logo.png;image/png;emilio89@gmail.com;981553044;30;2;43.8888;55.8888
2;Centro medico A Covina;content optical;Integrated;Research S;../fake-data/blob/hipster.png;image/png;Garland.Conn3@gmail.com;895.539.60;29948;85955;49944;70505
3;SCSI;Chilean Peso Unidades de fomento withdrawal;Handcrafte;Philippine;../fake-data/blob/hipster.png;image/png;Eliza50@hotmail.com;(105) 159-;28712;34325;36458;35093
4;Concrete 24/7;Handcrafted Frozen Shoes generating strategize;plum appli;protocol;../fake-data/blob/hipster.png;image/png;Golden.Daugherty43@hotmail.com;886.864.52;312;75097;58024;20837
5;interactive Gorgeous;Fantastic Refined Cotton Sausages;Azerbaijan;Montserrat;../fake-data/blob/hipster.png;image/png;Emmy_Tillman@yahoo.com;942.355.58;33731;37860;76243;83252
6;optical Rubber;Russian Ruble bypassing transitional;regional R;Isle brick;../fake-data/blob/hipster.png;image/png;Chet.Crist98@yahoo.com;442.051.02;79216;29803;77763;37763
7;Health Handcrafted;Awesome Center programming;Polarised ;local area;../fake-data/blob/hipster.png;image/png;Pearlie_Botsford42@yahoo.com;078-411-30;79352;2255;19703;17624
8;streamline connect Tasty;responsive;partnershi;Reduced;../fake-data/blob/hipster.png;image/png;Gretchen_Smith@yahoo.com;598.315.93;72576;19926;2981;54630
9;Focused;Applications alarm;bricks-and;Avon;../fake-data/blob/hipster.png;image/png;Tremaine92@gmail.com;(153) 437-;1693;13273;61114;8794
10;Tunnel;bottom-line hard drive;digital RS;Missouri t;../fake-data/blob/hipster.png;image/png;Thalia28@gmail.com;(012) 324-;24681;43378;64394;92612
