id;name;description;duration_minutes;max_day_appointment;min_day_appointment;price;icon;icon_content_type;actived
1;auxiliary reboot Brand;Bolivar Fuerte Salad orange;69891;6215;92821;6366;../fake-data/blob/hipster.png;image/png;false
2;groupware bypass connect;Mall incentivize;74923;42056;17169;37499;../fake-data/blob/hipster.png;image/png;false
3;circuit;indexing connecting pixel;52423;70477;96539;94571;../fake-data/blob/hipster.png;image/png;true
4;Northern Mariana Islands Practical Fresh Cheese;Personal Loan Account maroon;67443;21412;1586;36039;../fake-data/blob/hipster.png;image/png;false
5;Soap 24 hour Plastic;Automotive optimal solutions;23385;94142;70230;62713;../fake-data/blob/hipster.png;image/png;true
6;Chair back up;driver;35660;33650;79194;25239;../fake-data/blob/hipster.png;image/png;false
7;Fish interface;Bedfordshire;50156;61158;32749;10063;../fake-data/blob/hipster.png;image/png;false
8;transmitting;productize web-readiness deploy;11835;94064;82346;77437;../fake-data/blob/hipster.png;image/png;false
9;technologies solid state value-added;Money Market Account Credit Card Account;64330;69361;28798;65090;../fake-data/blob/hipster.png;image/png;false
10;UAE Dirham harness;Direct;36252;92742;33506;63779;../fake-data/blob/hipster.png;image/png;false
